false,true,true,false,false,true,true,true
long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
table,_start,_stop,_time,_value,_field,_measurement,id
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T13:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T14:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T15:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T16:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T17:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T18:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T19:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T20:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T21:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T22:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T23:00:00Z,-3.16,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-06-T00:00:00Z,-11.96,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T00:00:00Z,20.19,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T01:00:00Z,19.22,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T02:00:00Z,17.4,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T03:00:00Z,15.6,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T04:00:00Z,14.21,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T05:00:00Z,13.56,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T06:00:00Z,14.87,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T07:00:00Z,21.68,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T08:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T09:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T10:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T11:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T12:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T13:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T14:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T15:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T16:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T17:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T18:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T19:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T20:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T21:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T22:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T23:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T00:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
